Campaign Volunteer Directory,,,,,,,,
"*Please note that this is NOT an endorsement of any candidates. 
It is simply a collection of campaigns who need help. Please research candidates if you are unsure about them. ",,,,,,,,
Name:,State:,Govt Level:,Position:,Running as a:,District Location:,Stances Include (but at not limited to):,Find more info:,How to sign up to Volunteer:
Liliana Peinder,Alabama,Local,City Council District 3,Democrat running in a “nonpartisan race”,"Madison County - Huntsville City District 3, South Huntsville, Four Mile Post Road down to Ditto Landing","Strong Education Partnerships- Connecting tax dollars to preparing our specialized future workforce. Smart Growth- building proactively instead of reactively, solutions for road congestion, sustainable development, new roadway arteries. Expansion in more investment in social-infrastructure- investing in people and the systems that keep Huntsville strong.",LilianaforHuntsville.com,https://actionnetwork.org/groups/liliana-peinder-for-huntsville-city-council
Robert Hunter,Alabama,State,Alabama State House District 28,Dem,"Metro Etowah county in  Alabama, big cities are Gadsden, Rainbow city, and Attalla","1 Cap the Rent 
2 Make electric power affordable 
3 Medicaid Expansion 
",Www.vote4roberthunter.com,Got to the link and sign up. https://docs.google.com/forms/u/1/d/e/1FAIpQLSegWg8c08ywBm2U_owhQxvkf6VOe_uuArAKM4fqL_eE3dIezw/viewform?usp=send_form
WILL BOYD FOR GOVERNOR,ALABAMA,State,GOVERNOR,DEMOCRATIC,STATEWIDE,FIGHTING FOR OUR VOTING RIGHTS. EDUCATION. HEALTHCARE. ECONOMICS.,https://drwillboyd.com,willboyd4alabama@gmail.com - https://drwillboyd.com/join-us
Tom Begich,Alaska,State,Alaska Governor,Democrat,Alaska,1. Lower Everyday Costs 2. Improve Education 3. Get our fair share for our resources,Tombegichforalaska.com,https://docs.google.com/forms/d/e/1FAIpQLSejZPEJD7sTtxVBTD5zLuK0TkLayeQexfe-ODpZ3tjRBQlcIA/viewform
Nina Petrov,Alaska,State,Alaska State Senate District M,Democratic,"Anchorage area, including midtown and surrounding neighborhoods in Anchorage Municipality","fuck trump, fuck ice, fuck Stephen miller... 1 Alaska talks about resource wealth while basic services fluctuate year to year stabilize revenues so schools and infrastructure aren’t constantly on the chopping block. 2 We also need a serious long-term energy strategy that balances oil dependence with renewable investment instead of reacting to market swings. And I’m not ignoring national politics 3 I support stronger federal ethics enforcement and continued accountability efforts involving figures like Donald Trump.",https://www.petrovAK4us.org,https://www.petrovAK4us.org
Meleah Gretzmier,AR,Local,Benton County Quorum Court Justice of the Peace District 13,Democratic,"I am located in Northwest Arkansas! My district is just outside of Bentonville, AR. It is compromised of Cave Springs, Highfill, Gentry, Siloam Springs, and surrounding rural spaces.","1. Criminal Justice Reform; rehabilitate, not incarcerate
2. Infrastructure; responsible and transparent growth without growing pains 
3. Affordability; people should have access to affordable housing ",MelForArkansas.com,https://docs.google.com/forms/d/e/1FAIpQLSfTVZNJNnDf_-1iBB3jlJNX2xIg7Px4TcrJvOfmCIA6gn1yxg/viewform
Kyle Clayton,Arizona,Local,State Senate District 27,Democrat,"South Peoria, Northwest Glendale, North Central Phoenix. Arrowhead Mall, Westgate, Downtown Peoria","1. Protect PUBLIC Education  2. Lower housing, healthcare, & energy costs  3. Make Government spending accountable to the people to ensure it helps improve their lives",https://www.kyleforarizona.com/,https://www.kyleforarizona.com/join-us
Ms Zoe Kaplan,Arizona,State,Arizona Corporation Commission,Democratic Party,"Statewide race across Arizona, with major population centers in Phoenix, Tucson, and surrounding metro areas","1- Utility regulation isn’t abstract rate hikes are outpacing wages; push for stricter oversight of monopolies and transparent pricing
2- Accelerate grid modernization so extreme heat doesn’t translate into outages or price spikes
3- Take on “regulatory capture” directly limit utility influence in elections and decision-making bodies","x.com/kaplan4az
www.kaplanAZ4us.org",x.com/kaplan4az
Marc Graham,Arizona,State,Arizona House of Representitives District 28,"Democrat
",Northwest Phoenix,"1. Enshrine our voting rights.
2. Fair tax base
3. End School Voucher abuse.",marc@marcgrahamforaz.com,Please email me at marc@marcgrahamforaz.com
Marcus Delgado,Arizona,Federal,"U.S. House of Reps, Arizona’s 6th Congressional District",Democratic Party,Southeastern Arizona including parts of Tucson and surrounding communities in Pima County,"Secure water resources & drought solutions
Expand access to affordable healthcare
Protect voting rights, tax the rich","Secure water resources & drought solutions, expand access to affordable healthcare,
https://www.delgadoforaz6.com",https://www.delgadoforaz6.com
Sarah Bacon,California,Federal,"United States Representative, District 24 (CA)",Democratic Party,Ventura to San Luis Obispo.,"1. Fight corruption & fix Congress
2. Lower costs & invest in people
3. Defend rights & human dignity",www.sarahbacon.com,www.sarahbacon.com/volunteer
Joel Lava,California,Federal,CA 30 Congress,Democrat,Hollywood/Burbank/Glendale/Silverlake/Los Feliz,"1. Impeach Trump
2. Affordable Housing
3. Universal Healthcare

This hurts bc i want to focus on bringing film back to LA, fight gun violence, and support publicly financed elections!",https://www.joellavaforcongress.com,https://www.joellavaforcongress.com/volunteer
Marianne Shamma,California,Federal,U.S. House California District 36,Democratic,"Mainly West LA, And Most Beach LA Area Beach Cities From Santa Monica down to San Pedro","Marianne's three top priorities:

1) End the Genocide in Gaza:
The International Association of Genocide Scholars published a report in Sep 2025 declaring that Israel was committing a genocide. It continues to this day. Incumbent Ted Lieu and most US Reps are complicit by voting to spend taxpayer dollars on the weapons used to make this all possible. Marianne will speak out and vote against this.

2) Abolish ICE:
Billions of dollars spent to harass thousands of upstanding citizens. Our immigration system is broken and cruel by design. Marianne will speak out and vote against this.

3) Healthcare for All:
Health care is a human right, not a privilege. Marianne will be a strong voice and another vote for Medicare-for-All and single-payer.

The billions/trillions of dollars we tax-payers pay for our elected officials to perpetuate cruelty, brutality, and mass-death needs to end. The money we taxpayers spend on these projects needs to be put to programs that promote our well-being, programs that we deserve: healthcare for all, climate justice, housing security. These programs will bring transformational change to every human being in the country. Better health, decreased stress, increased happiness.",https://mariannehumanityfirst.com,https://www.mariannehumanityfirst.com/contact
Esther Kim-Varet,California,Federal,House of Representatives - ca 40,Democrat,Orange County and Riverside,1) Fight authoritarianism 2) Fight corruption 3) term limits,Estherforcongress.org,Estherforcongress.org/volunteer
Jaron Brandon,California,State,State Senate District 4,Democratic,"It covers thirteen counties which includes half of the Sierra Nevadas, like Yosemite, the east side like Death Valley,  and parts of the Central Valley.","1. Protect forests from wildfire
2. Build affordable housing
3. Save and improve healthcare and schools",Www.votejaron.com,https://votejaron.com/volunteer/
Michael Masuda,California,Federal,California Congress District 5,Democrat,Central Valley California / Stanislaus county / Tuolumne County/ Amador County / Madera and Mariposa County,Protecting immigrant families. Lowering costs & addressing the housing crisis. Investing in local communities.,https://www.votemasuda.com/,https://actionnetwork.org/forms/volunteer-for-masuda-for-congress?source=direct_link&
Sofia Alvarez,California,State,Cali State Senate District 12,Democratic Party,Southern SF,"Expand community health clinics in underserved areas instead of relying on ER care
Invest in water reuse + drought-resistant infrastructure as long-term policy, not emergency response
Create apprenticeship pipelines tied directly to local employers (construction, solar, healthcare)","Instagram alvarez4nm12
",https://www.alvarezNM4us.org/volunteer
Javier Soto,California,Local,Los Angeles City Council District 14,Democratic Party,"NE Los Angeles, including Boyle Heights, El Sereno, and parts of Downtown LA","fire prevention/ raking forest, the city keeps approving luxury units while calling it “housing progress” so we need binding affordability requirements, not suggestions
We need to end the practice of sweeping encampments without offering real, permanent housing solutions. If Washington won’t act, cities should still push for aggressive climate standards—LA can lead on zero-emission transit. fuck ICE",insta https://www.instagram.com/soto4la14 and https://www.sotoCA4us.org,insta https://www.instagram.com/soto4la14 and https://www.sotoCA4us.org
Nicolas Carjuzaa,California,Federal,California’s 8th congressional district seat,Democrat,"Richmond, Fairfield, Vallejo, Vacaville",1. Fight government corruption. 2. Affordable Housing for All. 3. Universal Healthcare.,Carjuzaaforcongress.org,Email: info@carjuzaaforcongress.org
Faizah Malik,California,Local,Council District 11,Democratic Party,Westside of Los Angeles,"1. Get people housed, keep people housed 
2. Fund our Neighborhoods 
3. Honest leaderships that follows through 
4. Meet the moment on civil rights ",www.Faizahforla.com,"Email info@faizahforla.com, or signup on https://luma.com/faizahforla"
Jessica LaGosh,California,State,CA Governor,Independent running as a Democrat,Not Applicable for Governor (the whole state of California),"1. Free Healthcare
2. Statewide Rent Control and End to Homelessness
3. Hold the Justice System Accountable",www.jessicalagoshforgovernor.com,https://www.jessicalagoshforgovernor.com/#Join%20the%20Movement
Jason Byors,California,State,CA Assembly District 47,Democrat,"Inland Empire, Coachella Valley","1) affordability and access to healthcare
2) human rights and civil rights
3) economy that works for all",jasonbyors.com,jasonbyors.com/volunteer
Randy Villegas & Jasmeet Bains,California,Federal,Federal house 22nd district,Democratic,Bakersfield,End corruption-benefits for the people-more subsidies to the peopel (instead of more cuts),https://www.villegasforcongress.com/  https://www.drjasmeetbains.com/,https://www.drjasmeetbains.com/
Randy Villegas & Jasmeet Bains,California,Federal,Federal house 22nd district,Democratic,Bakersfield,End corruption-benefits for the people-more subsidies to the peopel (instead of more cuts),https://www.villegasforcongress.com/  https://www.drjasmeetbains.com/,https://www.drjasmeetbains.com/
Hunter Garcia Miranda,California,Federal,US House of Representatives for California’s 47th District,Democratic,Southern California in Orange County,"1. Money out of politics
2. Break up monopolies
3. End forever wars and stop funding genocide",huntermiranda2026.com,https://huntermiranda2026.com/Volunteer/
Vic Meyers,Colorado,State,State House Dist 47,Democratic Party,"Baca, Bent, Crowley, Huerfano, Kiowa, Otero, Prowers, Las Animas counties and Pueblo West in Pueblo County","Protect Democracy, Stronger Public Schools, Fight Surveillance State",Vic4hd47.com,On website is best place
Noah Klein,Colorado,State,Colorado State Senate District 19,Democratic Party,Northern Denver metro,"Universal pre-K expansion
Lower healthcare costs
Clean energy transition jobs, limit ai data centers ","Instagram: https://www.instagram.com/klein4co19
Twitter (X): https://x.com/klein4co19",Dm me on X
Santiago Velasquez,Colorado,Local,Denver City Council District 9,Democratic Party,"North and northeast Denver including Five Points, Globeville, and Elyria-Swansea","No data centers, Development deals should come with community ownership stakes, not just promises that never materialize. Why are we still ticketing people into debt for minor infractions, overhaul municipal fines system. Expand bus rapid transit corridors now, not in another 10 year plan",https://x.com/velasquez4den9,https://x.com/velasquez4den9
Isaac Romero,Colorado,Federal,"U.S. House of Representatives, Colorado’s 8th Congressional District",Democratic Party,"North Denver suburbs, Thornton, Northglenn, Commerce City, and surrounding Adams/Weld County areas","ICE OUT     1. The cost of living keeps rising faster than wages in the Front Range, so I’m pushing for federal policies that directly tie wage growth to inflation and productivity instead of leaving workers behind. We also need to confront how fragmented our healthcare system is expand a public option that actually competes on price and coverage.",https://www.romeroCO4us.org,https://www.romeroCO4us.org/volunteer
Andrew Rice,Connecticut,Federal,Third Congressional District,Democratic,Greater New Haven Area,Medicare for All. Abolish ICE. Free Palestine,Www.riceforct.com,Volunteers@riceforct.com
Ruth Fortune,Connecticut,Federal,"US Congress, District 1",Democrat,Greater Hartford area,"$25/minimum wage tied to inflation, formerly undocumented Black woman fighting to protect immigrants and for immigration reform,",www.ruthfortuneforcongress.com,https://www.ruthfortuneforcongress.com/#volunteer
Joseph Perez-Caputo,Connecticut- 04,Federal,House of Representatives CT04,Democrat,"Connecticut, lower left (tail)","Affordability, accountability, anti-establishment action
Universal healthcare
Impeaching/treason charges 
Anti-ice free Palestine",https://allmylinks.com/joseph-perez-caputo,JPCforCT04@gmail.com
Kira Alejandro,Delaware,Local,New Castle County Council District 3,Democrat,"Pike Creek, Hockessin, Yorklyn, North Star & Some of Newark",1. Responsible Land Use & Development 2. Strong Community Engagement 3. Affordability,Kiraforcouncil.com,https://www.kiraforcouncil.com/get-involved
Dylana Galery,Florida,Local,City Council,Non-Partisan Race: Registered Democrat,Palm Coast,"	•	Smart, well-planned growth
	•	Transparent leadership & accountability
	•	Affordable utilities & stronger infrastructure",dylanagalery.com,https://form.jotform.com/260633207767056
Yen Bailey,Florida,Federal,Florida U. S. Congressional District 2,Democratic,Central part of the Florida Panhandle including Tallahassee,"1. Universal healthcare and affordable housing,  2. Money and corruption out of politics,  3. Accessible constituent services",Www.YenBaileyforCongress.com,https://yenbaileyforcongress.com/get-involved/
Veronica Powell-Faison,Florida,Local,Clay County School Board District 5,"I am a Democrat. Although the election is non-partisan, many of the current members are supported by the GOP.","Green Cove Springs, Lake Asbury, Middleburg","1. Safe and focused learning environments 
2. Support/retain quality teachers
3. Responsible use of taxpayer dollars",V4CCSB.ORG,https://www.v4ccsb.org/contact
Phil Ehr,Florida,Federal,Florida’s 28th Congressional District,Democrat,"Southwest Miami, all the way down to Key West","• Fix the insurance and affordability crises
• Crack down on corruption
• Protect the Everglades/environment and stop reckless overdevelopment ",EhrforCongress.us,"https://ehrforcongress.us/ volunteer form is right at the top of the page or for a direct human interaction, Velma Hernandez at velma@ehrforcongress.us"
Marialana Kinter,Florida,Federal,U.S. House of Representatives FL-07,Democrat,"Seminole County, Southern Half of Volusia (Port Orange, New Smyrna, Deltona, Lake Helen, Orange City)","Money out of Politics, Veterans Benefits / No wars, Cost of Living & Workers rights",KinterForCongress.com,https://www.kinterforcongress.com/volunteer
Malik Johnson,Georgia,Local,County Democratic Party Chairman,"Democratic Socialists of America, Democrat","East Atlanta including Edgewood, Kirkwood","Generational leadership Change in the democrat party, Georgia and beyond, but policy wise- Rent stabilization & tenant protections, community-based public safety (no more police city, or ever again), expanding public transit access",x.com/johnsonThaDon5,x.com/johnsonThaDon5
Elfreda Desvignes,Georgia,State,Georgia State Senate,Democratic,Cobb and South Fulton,"Housing Affordability & StabilitySenior Homeownership ProtectionLocal Control over Gold Dome"" Mandates.",Www.elfredadesvignes.com,contact us@elfredadesvignes.com
Imani Okafor,Georgia,State,Georgia Public Service Commission District 3,Democratic Party,"Statewide district covering much of metro Atlanta and central Georgia, including Fulton, DeKalb,","1- Georgia families are paying for utility decisions they didn’t make rate structures should reward conservation, not punish it. 
2- I’m pushing for binding timelines on transitioning to renewables so it’s not just long-term promises with no enforcement. 
3- And I’m focused on transparency  if regulators meet with utility executives, the public should know when, why, and what was discussed.",https://www.okaforGA4us.org,https://www.okaforGA4us.org/volunteer
Phedra PT Thomas,Georgia,Local,County Commissioner,Democrat,District 4 ( Henry County),"Community over chaos. I want residents to be heard, accountability",Www.vote4phedra.com,Mrsphedra@gmail.com
Evan Castillo,Idaho,State,Idaho House of Representatives District 16A,Democratic Party,"Boise area, including West Boise and parts of Ada County","1- Idaho’s growth is outpacing planning lock in impact fees so new development actually pays for roads, schools, and utilities
2- Protect access to reproductive healthcare at the state level instead of outsourcing decisions entirely to shifting federal policy
3- Build out water conservation standards now (tiered pricing, reuse incentives) before shortages force reactive restrictions",https://www.instagram.com/castillo4id16,dm me https://www.instagram.com/castillo4id16
Valerie Wade,Idaho,State,State Senate District 2,Democrats,"The eastern side of Coeur d’Alene Lake, olive Shoshone County all of Baniwa County top part of Clearwater County northern part of spirit Lake in Bonner County and Lakeview nearPend Oreille Lake.","My top priorities are to protect public lands, fund education, and support Medicaid expansion.",ValerieWadeforIdaho.com,Please send us an e-mail: ValerieWadeforIdaho@gmail.com
Andreel Patel,Illinois,Local,Chicago City Council Ward 32,Democratic Party,"Northwest Chicago neighborhoods including Logan Square, Avondale, and parts of Bucktown","like rubber-stamping luxury developments—require real affordability or deny permits
Chicago can’t claim fiscal responsibility while handing out unchecked corporate subsidies; enforce strict ROI and clawbacks
Local government should not stay silent on national issues like support federal ethics reform and accountability, including scrutiny of figures like sicko Trump and his enablers ",https://www.patelIL4us.org,https://www.patelIL4us.org
Lindsay Gramlich,Indiana,State,Indiana House of Representatives District 39,Democrat,Carmel and Westfield- Indiana,"Fully funded public schools 
Affordable and accessible childcare 
Women and girls healthcare access (and fundamental human rights)
Lowering utility, healthcare, and housing costs ",Www.lindsaygramlich.com,https://www.lindsaygramlich.com/get-involved
